application, id, int(11), 
application, code, varchar(128), 
application, description, varchar(128), 
applicationright, id, int(11), 
applicationright, apid, int(11), 
applicationright, loginID, int(11), 
applicationright, r, int(1), 
applicationright, w, int(1), 
applicationright, c, int(1), 
applicationright, d, int(1), 
barcode, id, int(11), 
barcode, barcode, varchar(128), 
barcode, prid, int(11), 
barcode, created, timestamp, 
barcode, createdby, int(11), 
cashdrawer, id, int(11), 
cashdrawer, register, varchar(11), 
cashdrawer, amount, decimal(7,3), 
cashdrawer, created, date, 
cashdrawer, userid, int(11), 
cashdrawerhistory, id, int(11), 
cashdrawerhistory, register, varchar(11), 
cashdrawerhistory, openingbalance, decimal(7,2), 
cashdrawerhistory, cashlift, decimal(7,2), 
cashdrawerhistory, cashinput, decimal(7,2), 
cashdrawerhistory, currentbalance, decimal(7,2), 
cashdrawerhistory, createdby, int(11), 
cashdrawerhistory, approverid, int(11), 
cashdrawerhistory, createtime, timestamp, 
customer, id, int(11), 
customer, first_name, varchar(128), 
customer, last_name, varchar(128), 
customer, address1, varchar(128), 
customer, address2, varchar(128), 
customer, postcode, varchar(11), 
customer, phone1, varchar(22), 
customer, mobile, varchar(22), 
customer, limit, decimal(7,2), 
customer, created, timestamp, 
customer, createdby, int(11), 
customerpayment, id, int(11), 
customerpayment, cuid, int(11), 
customerpayment, saleid, int(11), 
customerpayment, amount, decimal(7,2), 
customerpayment, paid, tinyint(1), 
customerpayment, saleidpaid, int(11), 
customerpayment, created, timestamp, 
customerpayment, createdby, int(11), 
endofday, id, int(11), 
endofday, cash, decimal(7,3), 
endofday, card, decimal(7,3), 
endofday, online, decimal(7,3), 
endofday, voucher, decimal(7,3), 
endofday, account, decimal(7,3), 
endofday, created, timestamp, 
endofday, createdby, int(11), 
endofdaydetail, id, int(11), 
endofdaydetail, type, varchar(128), 
endofdaydetail, amount, decimal(7,3), 
endofdaydetail, amountcount, int(11), 
endofdaydetail, eodid, int(11), 
endofdaydetail, created, timestamp, 
endofdaydetail, createdby, int(11), 
hold, id, int(11), 
hold, tillno, varchar(50), 
hold, status, tinyint(1), 
hold, created, timestamp, 
hold, createdby, varchar(50), 
holdorder, id, int(11), 
holdorder, productid, varchar(50), 
holdorder, productname, varchar(50), 
holdorder, qty, int(11), 
holdorder, discount, decimal(7,3), 
holdorder, unitprice, decimal(7,3), 
holdorder, holdid, int(11), 
holdorder, total, decimal(7,3), 
holdorder, created, timestamp, 
holdorder, createdby, varchar(50), 
maincategory, id, int(11), 
maincategory, name, varchar(50), 
maincategory, created, timestamp, 
maincategory, createdby, int(11), 
maincategory, extid, varchar(50), 
nontax, id, int(11), 
nontax, name, varchar(50), 
nontax, prid, int(11), 
nontax, created, timestamp, 
nontax, createdby, int(11), 
payout, id, int(11), 
payout, name, varchar(50), 
payout, prid, int(11), 
payout, created, timestamp, 
payout, createdby, int(11), 
product, id, int(11), 
product, name, varchar(50), 
product, mcid, int(11), 
product, scid, int(11), 
product, grid, int(11), 
product, qk, tinyint(1), 
product, created, timestamp, 
product, createdby, int(11), 
product, extid, varchar(50), 
productlistbarcodes, prid, int(11), 
productlistbarcodes, name, varchar(50), 
productlistbarcodes, barcode, varchar(128), 
productprice, id, int(11), 
productprice, price, decimal(7,3), 
productprice, qty, int(5), 
productprice, prid, int(11), 
productprice, created, timestamp, 
productprice, createdby, int(11), 
quickkeys, id, int(11), 
quickkeys, prname, varchar(50), 
quickkeys, mcid, int(11), 
quickkeys, mcname, varchar(50), 
quickkeys, scid, int(11), 
quickkeys, scname, varchar(50), 
quickkeys, grid, int(11), 
rights, apcode, varchar(128), 
rights, appname, varchar(128), 
rights, apid, int(11), 
rights, user, int(11), 
rights, r, int(1), 
rights, c, int(1), 
rights, w, int(1), 
rights, d, int(1), 
sale, id, int(11), 
sale, userid, int(11), 
sale, register, varchar(50), 
sale, cash, decimal(7,2), 
sale, card, decimal(7,2), 
sale, voucher, decimal(7,2), 
sale, online, decimal(7,2), 
sale, account, decimal(7,2), 
sale, amounttopay, decimal(7,2), 
sale, change, decimal(7,2), 
sale, created, timestamp, 
saleitem, id, int(11), 
saleitem, saleid, int(11), 
saleitem, prid, int(11), 
saleitem, name, varchar(150), 
saleitem, qty, int(11), 
saleitem, discount, decimal(7,3), 
saleitem, unitprice, decimal(7,3), 
saleitem, total, decimal(11,0), 
saleitem, created, timestamp, 
searchproducts, prid, int(11), 
searchproducts, name, varchar(50), 
searchproducts, barcode, varchar(128), 
searchproducts, price, decimal(7,3), 
searchproducts, mcname, varchar(50), 
searchproducts_local, prid, int(11), 
searchproducts_local, name, varchar(50), 
searchproducts_local, barcode, varchar(128), 
searchproducts_local, price, decimal(7,3), 
searchproducts_local, mcname, varchar(50), 
subcategory, id, int(11), 
subcategory, name, varchar(50), 
subcategory, mcid, int(11), 
subcategory, created, timestamp, 
subcategory, createdby, int(11), 
systempref, id, int(11), 
systempref, ukey, varchar(11), 
systempref, uvalue, varchar(11), 
tax, id, int(11), 
tax, name, varchar(50), 
tax, prid, int(11), 
tax, created, timestamp, 
tax, createdby, int(11), 
users, id, int(11), 
users, firstname, varchar(128), 
users, lastname, varchar(128), 
users, loginID, varchar(128), 
users, loginpass, varchar(128), 
users, canlogin, tinyint(1), 
