"extid","barcode"
"000365","5000213006481"
"005007","24000069423"
"006301","50431168"
"007430","87108620"
"009038","5449000006011"
"012108","5000264000100"
"012801","5035766040088"
"014432","5012686019509"
"021258","5010327000404"
"021533","9311043024412"
"021588","9311043007743"
"024006","87000006829"
"028741","5021889660012"
"032203","85000007839"
"052605","7613031579334"
"054005","50426270"
"057952","5010038009024"
"059055","5000289110600"
"063407","5010262070074"
"069508","5010327000176"
"071396","5034660504115"
"071417","5034660504092"
"071428","5034660504108"
"071473","5034660504276"
"073411","5021319501359"
"076753","5010284100018"
"087292","5000387005211"
"091150","5601012011500"
"098852","8717163339848"
"104308","3024482270109"
"111409","5000127054400"
"117379","5010505004279"
"117478","5000237091982"
"119373","12354089990"
"119384","9311218110223"
"126782","5000382013716"
"149635","5011166018094"
"149822","5011166013174"
"150129","5011166013167"
"157898","5034660509530"
"163705","85000002872"
"163772","9311218117970"
"164021","24000009924"
"164043","24000159377"
"167329","5010505004231"
"184555","5000174499445"
"184577","5000174499513"
"191876","5000161029723"
"191887","5000161029662"
"193342","5011166016410"
"199399","5060006410000"
"212034","5000347018923"
"213525","5034660511540"
"213536","5034660511557"
"214863","50426942"
"216856","5010038045398"
"219439","5020055100802"
"226442","5000231043192"
"226453","5000231049927"
"226464","5000231049941"
"226475","5000231049873"
"226486","5000231049859"
"226497","5000231049842"
"229081","50249466"
"232250","5000228010671"
"234726","12354087651"
"240688","5000354900815"
"254799","5011166018124"
"263014","37600104029"
"265579","9311043048715"
"266037","5906684069270"
"269016","5011898005218"
"269281","5011898005119"
"273709","5000186593001"
"276371","5027876728215"
"276382","5027876728239"
"276393","5027876728291"
"276436","5027876728253"
"276777","5019996036738"
"276788","5019996036813"
"276799","5019996036837"
"276821","5019996036851"
"276832","5019996036875"
"276843","5019996036899"
"277972","5027876727331"
"277983","5027876727355"
"285575","70177020507"
"285586","70177010201"
"285597","70177010713"
"285641","70177085322"
"292830","87306279"
"292940","5010232967649"
"292962","5038483218624"
"292973","5038483193082"
"292984","5010232967588"
"292995","5038483151839"
"295853","5000201478542"
"298359","5410316671118"
"300401","87108422"
"300609","87108644"
"300708","87301182"
"302702","5000328547602"
"303590","24000030348"
"303633","24000047698"
"305671","5020411116867"
"307949","5060050980498"
"308430","5027876302026"
"309404","5027876009673"
"309624","5011898005317"
"309657","5027876009697"
"310284","24000142119"
"310372","24000196143"
"311720","5011026100754"
"312925","5019996017171"
"313119","50251414"
"319012","5099873715598"
"319276","5010115911257"
"320968","8001110016372"
"331584","9311789001524"
"331638","9311789279329"
"334507","5012686006004"
"337201","5000312002131"
"344797","5900500021091"
"344830","5900500018176"
"344841","5900500018190"
"345507","5000354900914"
"350495","5021889332124"
"360740","50075058"
"360751","50075027"
"360773","50075003"
"364177","5027876304563"
"368054","5000186552046"
"371476","5011898005416"
"373975","24000011859"
"376460","5010103918305"
"376987","5410438028166"
"376998","5410438028180"
"377038","5410438028173"
"377522","5000174499605"
"379515","5000347052002"
"387482","5035766040361"
"387493","5011166016885"
"391735","5000347027147"
"391746","8717644060407"
"392567","85000015490"
"392578","75001629"
"394846","37600167185"
"398547","24000155812"
"398569","24000190745"
"405243","5014339000056"
"405254","5014339000186"
"405397","5011166017875"
"412081","4603400000043"
"418038","5021664019493"
"418049","5027876302958"
"422051","50098798"
"422138","87308464"
"424286","8717163963357"
"424297","5000186641092"
"424307","8717644024980"
"426697","7613031804023"
"426718","7613031790845"
"426729","7613031790821"
"426730","3800020431764"
"426905","5011166014270"
"426927","5011166014287"
"426938","5011166018391"
"427188","5011166205616"
"427991","7310791012551"
"428976","5034660516965"
"431024","5050083388170"
"431398","5000328738598"
"431716","5027876075371"
"431727","5027876075395"
"431761","5027876075418"
"432054","85000005033"
"432988","24000001645"
"432999","8717163499344"
"433006","5000168145976"
"433468","24000080947"
"435110","5413149214071"
"435451","5027876077979"
"435484","5027876077917"
"436470","5027876080634"
"436481","5027876080597"
"436788","5027876080832"
"436799","5027876080856"
"436809","5027876080870"
"436964","5027876080955"
"436975","5027876080993"
"436986","5027876081013"
"437334","5027876081617"
"437730","5027876082393"
"437851","5027876082577"
"437972","5027876082775"
"439240","5027876084656"
"440053","5019996036776"
"442750","5000347023170"
"447975","72417121531"
"447986","72417121548"
"448202","5000328649146"
"449023","50892020"
"449353","5010024126025"
"449650","5010024126049"
"449902","5010024126018"
"450001","5010024126032"
"451921","5000143382129"
"452292","8722700264545"
"452302","8722700264552"
"452335","8722700264576"
"452346","8722700264583"
"452368","8722700264569"
"452522","50892037"
"453309","50098767"
"453310","50105045"
"453332","50098774"
"453343","50110216"
"456630","5000168148588"
"458689","7613032178260"
"458690","7613032169701"
"462745","5000208086047"
"462954","5413149596399"
"463609","85000005002"
"464057","24000160144"
"464541","5011166018384"
"464552","5011166014294"
"468473","5000208038954"
"469667","5050083428692"
"469678","5050083429194"
"469711","5050083429163"
"471192","7393714526007"
"471202","7393714515902"
"472155","5000237096840"
"475958","5413149608078"
"478322","5021889330069"
"480385","71106119903"
"481315","5027876080979"
"486574","5010153771141"
"487076","5010134004466"
"487087","5010134002325"
"487571","5010102112506"
"487582","5010102112490"
"487593","5010102112483"
"487603","5010102112476"
"487647","5010102112384"
"487658","5010102112407"
"487669","5010102112391"
"487670","5010102112414"
"488611","5050083452208"
"488666","5050083452291"
"488721","5050083451881"
"488864","5000213012932"
"489289","5000382025474"
"489487","5000328882574"
"489498","5000328563718"
"489575","50426188"
"490058","5017726198756"
"490069","5017726198763"
"490070","5017726198770"
"490081","5017726198787"
"490366","5413149694057"
"490762","5034660518341"
"490773","5034660518327"
"490784","5034660518280"
"491165","5011898005041"
"491187","5011898005157"
"491198","5011898005355"
"491208","5011898005256"
"491219","5011898005454"
"492348","5000328646770"
"492359","5000328646268"
"492601","5050083459054"
"493093","5035766182580"
"493114","5035766041474"
"493938","5013803701802"
"493949","5013803701901"
"494078","5413149724747"
"494089","5413149724860"
"494199","5000168151762"
"494221","5000168151779"
"494232","5000168151786"
"494243","5000168151793"
"494276","5000168151854"
"494331","5000168151984"
"494452","84195586"
"494463","84157096"
"494474","84157034"
"494485","84157089"
"494782","9002490210861"
"495031","5010017089962"
"495042","5010017089795"
"496478","5010038048665"
"496489","5010038048597"
"496577","9311789002026"
"496588","9311789563466"
"496665","5010134006941"
"497398","5410316992107"
"498186","5391516870801"
"498197","5391516871136"
"498427","5000159419659"
"498494","5000382024729"
"500393","5021319003518"
"501235","5000232824950"
"501433","5011166018889"
"501927","8593893718487"
"501938","7613032475659"
"501994","5034660518747"
"502111","5010153775316"
"502254","24000069416"
"502331","5000208064830"
"502528","5410076058280"
"502539","5410076058310"
"502540","5410076058341"
"503284","5099873715529"
"503295","5099873009857"
"503679","5000328157696"
"503680","5000328443805"
"503701","5000328673646"
"503745","5000382026082"
"503767","5000382025962"
"503833","5000382026006"
"504104","5010017088408"
"504137","5060145251144"
"504643","7613032478520"
"504654","7613032479145"
"504665","7613032478506"
"504687","7613032482220"
"504731","7613032481100"
"504742","7613032481087"
"504753","7613032481063"
"504786","7613032478933"
"504797","7613032479183"
"505068","5000159423731"
"505079","5000159423755"
"505080","5000159423601"
"505101","5000159423656"
"505200","5000108159353"
"505277","7613032481254"
"505288","7613032480899"
"505376","5000328159607"
"505585","5027876084960"
"505596","5027876084984"
"505617","5027876085028"
"505815","7622300319083"
"505826","5000347037344"
"505837","5000347037337"
"505848","5000347037429"
"506032","5000158066250"
"506120","5000328784700"
"506197","5000354201110"
"506229","5000354201103"
"506252","5000435004937"
"507039","5000157068835"
"507150","5011061112156"
"507172","5011061112170"
"507183","5011061112194"
"507590","5000118004131"
"508047","5000237091067"
"508081","5060123601107"
"508124","5010186019548"
"508135","5010186019531"
"508212","5029054589304"
"508245","5029054589274"
"508267","5029054589281"
"508278","5029054589298"
"508728","7702018882281"
"508739","5010029211542"
"508740","5010029211559"
"508805","7622300335960"
"509374","8410076900005"
"509385","8410076900012"
"509473","8410525186813"
"509484","8410525187889"
"509671","5035766381273"
"509682","5000433011449"
"510132","72417107665"
"510143","5010049076763"
"510187","5010186019272"
"510198","5010186019265"
"510208","5010186019401"
"510220","5010186019425"
"510824","5000166072472"
"510835","5000166072489"
"510857","5000166072465"
"510868","5000166072342"
"510879","5000166072359"
"511568","5000166072380"
"511579","8410136216541"
"511580","5000166072373"
"511591","5000166072366"
"512938","5000232171009"
"553629","71106460630"
"553751","24000001966"
"554154","24000025528"
"554253","24000011149"
"554307","24000025993"
"554428","71106385995"
"554451","24000010203"
"554604","24000011477"
"554659","24000024675"
"555007","24000062950"
"556158","24000124948"
"556202","24000124955"
"556301","24000124023"
"556509","24000038245"
"559258","50243228"
"57473","4025500123130"
"57656","5000241007009"
"586553","12354087705"
"58708","4025500133696"
"58898","5010746002621"
"58982","4025500111274"
"59153","5017221111502"
"59177","5010236009437"
"59212","4025500103781"
"59213","4025500025700"
"59214","4025500025755"
"59571","5017221355005"
"59718","5010023067503"
"59720","5010023067534"
"626600","5010017050337"
"638201","5010023110018"
"638256","5010023088140"
"638300","5010023016006"
"704623","50426461"
"722010","7312040017683"
"732222","5000328623092"
"732925","5000328971339"
"733120","5000328156200"
"733328","5000328552194"
"739551","8002210500105"
"741459","8002210112544"
"750653","12354081840"
"762814","5410316287005"
"779102","5000184321057"
"780102","5000184321545"
"792208","5010024131180"
"806750","5000171002525"
"810454","5010061001019"
"811857","5010061001613"
"824828","5000426157659"
"842303","3057640100673"
"882404","8717163545324"
"908458","5000134037809"
"908809","5000134037571"
"913654","5000134043930"
"929967","5010459005216"
"93125F","5000116100019"
"93253","5036698000836"
"93254","5036698001000"
"93256","5036698000843"
"93304","5000159331692"
"93392","5000116101030"
"93461","5000373702315"
"93518","5010746002683"
"940904","5000171032614"
"94510","5390605004066"
"94526","5390605004073"
"94538","5390605004059"
"95031","5010693601373"
"95033","5010693601366"
"95053","5000159386395"
"95296","5011003031170"
"95297","5011003031149"
"95298","5011003031224"
"95299","5011003030951"
"953854","5000157024855"
"95979","50178483"
"95980","50178551"
"96019","5010693411606"
"96478","3176575149011"
"96479","3176575149028"
"97464","5022313417110"
"97465","5022313218090"
"97657","5010236061152"
"98000","5000159399036"
"98386","5010164568266"
"000903","5010067301502"
"004242","5413149037830"
"033266","5024993727947"
"033332","5000426113556"
"036838","5413149701199"
"040125","5413149701137"
"040938","5010105640037"
"043456","5413149007390"
"051642","3057640319723"
"052276","3048431002658"
"056988","50376049"
"070751","4015400048992"
"071385","5034660504283"
"078263","5413149070097"
"080897","5011061120373"
"090021","5027876059975"
"090076","5027876060216"
"090131","5027876060209"
"090483","5027876060117"
"090548","5027876060094"
"090647","5027876060384"
"090658","5027876060278"
"090670","5027876060292"
"090681","5027876059913"
"090780","5027876060506"
"090791","5027876060339"
"090911","5027876060261"
"091039","5027876060391"
"095378","5027876061961"
"097581","5000208056743"
"097723","5000208023295"
"098742","5011061017024"
"099046","5027876032473"
"105284","5413149566361"
"106643","5010067374506"
"127097","5000204885811"
"127141","5000204885835"
"129343","5024993857347"
"129651","5010134006996"
"138448","5011417538289"
"139038","4002359644702"
"139807","5010134007078"
"141233","5000175410760"
"142670","5000175410753"
"145880","5000347014550"
"147576","5413149845213"
"149471","5027876065433"
"156231","5000174346749"
"157052","5011417536339"
"157744","5021319000807"
"163651","85000005699"
"170400","5413149138780"
"171902","5011941018899"
"179579","5413149051461"
"186032","5027876070123"
"186186","5027876070147"
"202163","5027876722190"
"203182","5011061142177"
"203753","5027876722732"
"203830","5027876722695"
"205548","5027876722992"
"206039","4011100005846"
"221304","5410438006256"
"222158","5410438008397"
"222653","5410438008496"
"224459","4002359647239"
"227681","5029053522173"
"236281","8717163984413"
"237563","5027876069455"
"249966","8717163015179"
"250735","5000347022951"
"250746","5000347022968"
"251776","5055028321274"
"252070","5000382010555"
"256056","5027876726495"
"256649","3254474001378"
"257877","5010973003040"
"257899","5010973003019"
"259981","5413149459519"
"259992","5413149459489"
"263290","42113713"
"277532","5027876728796"
"283483","5017974008500"
"284578","5027876729571"
"285179","5000118059957"
"285883","5000363350007"
"286736","5029053021744"
"288291","8717163063941"
"295161","5027876300855"
"295194","5027876300848"
"295347","5027876300756"
"295369","5027876300732"
"295381","5027876300718"
"295392","5027876300749"
"295424","5027876300725"
"295435","5027876300695"
"295446","5027876300701"
"295480","5027876300657"
"300302","5035766040187"
"301815","5413149455795"
"302119","5413149480506"
"302285","5027876301104"
"307082","5035964152354"
"307268","5010105640044"
"310394","5034660020813"
"311094","5028763005983"
"315993","5010038044018"
"317304","5010067337501"
"317359","5010067331509"
"317458","5010067347500"
"317809","5010067376500"
"317908","5010067379501"
"320650","5000175413846"
"320726","8717644046975"
"330576","5010663804452"
"330983","5060123600469"
"330994","5060123600186"
"331166","3083680652988"
"338440","5410853024170"
"338484","5410853024149"
"339139","5027876019252"
"343042","42124023"
"344676","5027876303528"
"344764","5027876303566"
"344863","5034660021568"
"348355","5000147026913"
"349978","5027876303740"
"349990","5027876303788"
"350066","5027876303849"
"350077","5027876303863"
"350088","5027876303887"
"350176","5029054521823"
"350198","5029054521861"
"350219","5029053513386"
"350231","5029053513409"
"350242","5029053524801"
"351436","5019996054121"
"358732","5029053529714"
"362382","5413149404038"
"362744","5027876304143"
"366533","5021778006228"
"368098","5000347027239"
"369930","5024523906019"
"369963","5010338014438"
"369974","5010338014414"
"371092","5011898006611"
"372363","5012427019409"
"373986","24000153573"
"376273","5019989101580"
"376437","6001108020598"
"377379","5027876305621"
"377391","5027876305607"
"380625","8717644137550"
"380636","8717644137581"
"384931","5012058010608"
"386847","5000354902390"
"386946","5413149459571"
"386957","5413149459540"
"386968","5413149459601"
"388269","5029053530291"
"388270","5029053530314"
"388281","5029053530321"
"388346","50087341"
"391274","5027876306987"
"392446","5024993727879"
"392468","5024993728388"
"393092","4015400212225"
"393289","5027876307045"
"393355","7613031485604"
"393696","5000159384056"
"394154","50088072"
"397672","5027876307069"
"397683","5027876307083"
"398691","3179730257996"
"401948","5029053025162"
"404136","5410853031826"
"404169","5410853031888"
"404949","5010038047613"
"404950","5010038047811"
"404972","5000166048682"
"404983","5000166048675"
"405573","5012427103405"
"405584","5012427103504"
"405595","5012427103603"
"405649","5012427103702"
"405672","5012427103900"
"405704","5012427104204"
"405726","5012427104402"
"407335","7613031448296"
"407357","7613031448319"
"408684","5027876308509"
"408695","5027876308523"
"410230","5027876308769"
"410241","5027876308783"
"410252","5027876308721"
"410263","5027876308745"
"412773","5027876308868"
"412915","5000166069663"
"412926","5000166069670"
"413286","6009600220034"
"413363","5019989102822"
"415905","5000309006111"
"415916","5000309006098"
"416144","5010338020064"
"416155","5010338020071"
"416506","5014339000032"
"416528","5014339000124"
"417536","6001497600647"
"417558","5050223007961"
"417569","6001497600579"
"417570","6001497600227"
"417680","5010973003002"
"419332","5027876310267"
"419376","5027876310304"
"420101","5449000956606"
"420112","5449000956637"
"420486","5027876309360"
"420507","5027876309407"
"420772","3083680077026"
"420783","3083680077446"
"422480","5010102111509"
"422491","5010102111493"
"423070","5027876073131"
"423706","5000347030116"
"423861","5000112561999"
"424132","5011308005937"
"424143","5011308005999"
"424561","5029053531694"
"424572","5029053531687"
"424583","5029053531472"
"424604","5029053531496"
"425216","5050083382055"
"425689","5010431600217"
"426619","5010599015045"
"427858","5035766381082"
"427979","5029053023755"
"428097","5000363329140"
"428624","5027876074992"
"429609","5027876075234"
"429610","5027876075258"
"430049","5413149561656"
"430137","5010029210125"
"430203","5413149557628"
"432472","5010134006354"
"432483","5010134006316"
"432494","5010134006439"
"432636","5027876075470"
"432724","50157020"
"432966","5000157068163"
"432977","5000157068156"
"433051","5029053026718"
"433062","5029053026725"
"433073","5029053026732"
"433095","5029053027029"
"433138","5029053027036"
"433149","5029053027043"
"433194","5029053026978"
"433293","5029053027104"
"433930","4060800132246"
"434784","5027876076873"
"434795","5027876076897"
"434805","5027876076910"
"434827","5027876076934"
"434838","5027876076958"
