"Category_Id2","Category_Name2","Description2","Category_ID1","CreatedBy","CreatedDateTime","ModifiedBy","ModifiedDateTime","Is_Deleted","Br_Code","BackColor","ForeColor"
"9999","Misc","","9999","0001","18/06/2009 14:55:11","0001","18/06/2009 14:55:11","N","EH","",""
"10000","STOUT","","10000","0001","18/06/2009 14:55:11","0001","18/06/2009 14:55:11","N","EH","",""
"10001","TETRA OTHERS LGE","","10001","0001","18/06/2009 14:55:12","0001","18/06/2009 14:55:12","N","EH","",""
"10002","IMPERIAL","","10002","0001","18/06/2009 14:55:13","0001","18/06/2009 14:55:13","N","EH","",""
"10003","KIDDIES","","10003","0001","18/06/2009 14:55:13","0001","18/06/2009 14:55:13","N","EH","",""
"10004","2&3 LTR BOTTLES","","10001","0001","18/06/2009 14:55:14","0001","18/06/2009 14:55:14","N","EH","",""
"10005","STANDARD","","10004","0001","18/06/2009 14:55:14","0001","18/06/2009 14:55:14","N","EH","",""
"10006","CANS","","10005","0001","18/06/2009 14:55:14","0001","18/06/2009 14:55:14","N","EH","",""
"10007","BOTTLED BEER","","10000","0001","18/06/2009 14:55:14","0001","18/06/2009 14:55:14","N","EH","",""
"10008","WHISKY","","10006","0001","18/06/2009 14:55:14","0001","18/06/2009 14:55:14","N","EH","",""
"10009","AUSTRALIAN&NEW ZEALAND","","10007","0001","18/06/2009 14:55:15","0001","18/06/2009 14:55:15","N","EH","",""
"10010","AUSTRALIAN&NEW ZEALAND","","10008","0001","18/06/2009 14:55:15","0001","18/06/2009 14:55:15","N","EH","",""
"10011","BOTTLED LAGER","","10004","0001","18/06/2009 14:55:15","0001","18/06/2009 14:55:15","N","EH","",""
"10012","CALIFORNIAN","","10008","0001","18/06/2009 14:55:15","0001","18/06/2009 14:55:15","N","EH","",""
"10013","FILLED BARS","","10009","0001","18/06/2009 14:55:15","0001","18/06/2009 14:55:15","N","EH","",""
"10014","KIDDIES","","10009","0001","18/06/2009 14:55:15","0001","18/06/2009 14:55:15","N","EH","",""
"10015","GIN","","10006","0001","18/06/2009 14:55:15","0001","18/06/2009 14:55:15","N","EH","",""
"10016","APPERITIFS","","10006","0001","18/06/2009 14:55:15","0001","18/06/2009 14:55:15","N","EH","",""
"10017","BAGS","","10010","0001","18/06/2009 14:55:15","0001","18/06/2009 14:55:15","N","EH","",""
"10018","PREMIUM&S/STRENGTH","","10004","0001","18/06/2009 14:55:16","0001","18/06/2009 14:55:16","N","EH","",""
"10019","LIQUERS","","10006","0001","18/06/2009 14:55:16","0001","18/06/2009 14:55:16","N","EH","",""
"10020","PORTUGESE","","10008","0001","18/06/2009 14:55:16","0001","18/06/2009 14:55:16","N","EH","",""
"10021","BODYSPRAY&TALC","","10011","0001","18/06/2009 14:55:16","0001","18/06/2009 14:55:16","N","EH","",""
"10022","BRANDY&COGNAC","","10006","0001","18/06/2009 14:55:16","0001","18/06/2009 14:55:16","N","EH","",""
"10023","KELLOGGS","","10012","0001","18/06/2009 14:55:16","0001","18/06/2009 14:55:16","N","EH","",""
"10024","SNACK SGL STD","","10013","0001","18/06/2009 14:55:17","0001","18/06/2009 14:55:17","N","EH","",""
"10025","IND CANS","","10001","0001","18/06/2009 14:55:17","0001","18/06/2009 14:55:17","N","EH","",""
"10026","RTD ALCOHOLS","","10014","0001","18/06/2009 14:55:17","0001","18/06/2009 14:55:17","N","EH","",""
"10027","SM CARTONS JUICE","","10001","0001","18/06/2009 14:55:18","0001","18/06/2009 14:55:18","N","EH","",""
"10028","HAIRCARE","","10011","0001","18/06/2009 14:55:18","0001","18/06/2009 14:55:18","N","EH","",""
"10029","PREMIUM CAT","","10015","0001","18/06/2009 14:55:18","0001","18/06/2009 14:55:18","N","EH","",""
"10030","PERRYS","","10016","0001","18/06/2009 14:55:19","0001","18/06/2009 14:55:19","N","EH","",""
