"extid","qty","price"
"000365","1","4"
"005007","1","1.85"
"006301","1","5"
"007430","1","0.5"
"009038","1","1.99"
"012108","1","1.19"
"012801","1","1"
"014432","1","2.29"
"021258","1","13.99"
"021533","1","5.55"
"021588","1","4.49"
"024006","1","19.19"
"028741","1","1.99"
"032203","1","5.85"
"052605","1","0.6"
"054005","1","0.55"
"057952","1","1.05"
"059055","1","11.49"
"063407","1","12.99"
"069508","1","29.99"
"071396","1","0.99"
"071417","1","0.99"
"071428","1","0.99"
"071473","1","0.99"
"073411","1","1.1"
"076753","1","12.99"
"087292","1","14.49"
"091150","1","4.99"
"098852","1","2.39"
"104308","1","22.69"
"111409","1","1.85"
"117379","1","0.39"
"117478","1","0.4"
"119373","1","6.55"
"119384","1","4.99"
"126782","1","0.39"
"149635","1","3.05"
"149822","1","3.05"
"150129","1","3.05"
"157898","1","0.99"
"163705","1","5.85"
"163772","1","4.99"
"164021","1","0.39"
"164043","1","0.39"
"167329","1","0.45"
"184555","1","2.25"
"184577","1","2.25"
"191876","1","0.39"
"191887","1","0.49"
"193342","1","2.99"
"199399","1","1.19"
"212034","1","0.6"
"213525","1","0.99"
"213536","1","0.99"
"214863","1","0.65"
"216856","1","1.19"
"219439","1","1.19"
"226442","1","0.89"
"226453","1","2.99"
"226464","1","0.89"
"226475","1","1.99"
"226486","1","0.89"
"226497","1","0.89"
"229081","1","0.65"
"229191","1","0.79"
"232250","1","2.49"
"234726","1","6.55"
"240688","1","2.19"
"254799","1","3.05"
"263014","1","1.89"
"263070","1","2.79"
"265579","1","4.49"
"266037","1","2.05"
"269016","1","1.19"
"269281","1","1.19"
"273709","1","1.55"
"276371","1","3.99"
"276382","1","3.99"
"276393","1","3.99"
"276436","1","3.99"
"276777","1","0.35"
"276788","1","0.35"
"276799","1","0.35"
"276821","1","0.35"
"276832","1","0.35"
"276843","1","0.35"
"277972","1","4.19"
"277983","1","4.19"
"285575","1","2.39"
"285586","1","2.39"
"285597","1","2.39"
"285641","1","2.39"
"290595","1","0.79"
"292830","1","0.3"
"292940","1","3.49"
"292962","1","3.49"
"292973","1","3.49"
"292984","1","3.49"
"292995","1","3.49"
"295853","1","0.6"
"298359","1","13.49"
"300401","1","0.29"
"300609","1","0.5"
"300708","1","0.55"
"302702","1","0.65"
"303590","1","1.25"
"303633","1","1.25"
"305671","1","0.45"
"307949","1","1.75"
"308430","1","10.09"
"309404","1","0.69"
"309624","1","1.19"
"309657","1","0.69"
"310284","1","1.25"
"310372","1","0.49"
"311720","1","2.09"
"312167","1","1.15"
"312925","1","9.99"
"313119","1","0.6"
"319012","1","9.15"
"319276","1","1.49"
"320968","1","12.99"
"331584","1","4.99"
"331638","1","4.99"
"334507","1","2.29"
"337201","1","0.65"
"342573","1","1.15"
"344797","1","1.45"
"344830","1","1.45"
"344841","1","1.45"
"345507","1","2.59"
"350495","1","0.79"
"360740","1","0.79"
"360751","1","0.79"
"360773","1","0.79"
"364177","1","1.59"
"368054","1","1.99"
"371476","1","0.95"
"373975","1","1.09"
"376460","1","4.49"
"376987","1","1.09"
"376998","1","1.09"
"377038","1","1.09"
"377522","1","2.25"
"379515","1","0.65"
"387482","1","2.99"
"387493","1","3.05"
"391735","1","0.85"
"391746","1","2.39"
"392567","1","5.85"
"392578","1","1.19"
"394846","1","2.85"
"398547","1","1.69"
"398569","1","1.75"
"405243","1","0.79"
"405254","1","0.79"
"405265","1","0.79"
